File,Columns,Explanation
,MDD_type_specimen_link,"link(s) to the type material in external website(s), such as the hosting museum collection"
,MDD_order,"taxonomic order the name is included under; if not assigned to an order, this field says 'incertae_sedis'"
,MDD_family,"taxonomic family the name is included under; if not assigned to a family, this field says 'incertae_sedis'"
,MDD_genus,"taxonomic genus the name is included under; if not assigned to a genus, this field says 'incertae_sedis'"
,MDD_specificEpithet,"specific epithet of the species the name is included under; if not assigned to a species, this field says 'incertae_sedis'"
,MDD_subspecificEpithet,"the subspecific epithet of the subspecies the name is included under; this field is left blank if no subspecies are recognized within the species; currently this field lists a tentative subspecies list for all mammals on the MDD, but this has not yet been vetted and not all names have been assigned to their applicable subspecies, so this field is currently a work in progress"
,MDD_variant_of,"for names that are spelling variants or name combinations of another name, this name they are variants of is listed here with its original name combination, authority, and id number"
,MDD_senior_homonym,"for names that are preoccupied by another name, whether by primary or secondary homynomy, the name that preoccupies it is listed here with its original name combination, authority, and id number"
,MDD_name_usages,later citations using the exact spelling of the synonym name as presented in the MDD_original_combination field; citations are abbreviated to the authors and year followed by the page number the name appears on in the publication
,Hesp_id,"the identification number associated with the matching name in the Hesperomys database (hesperomys.com), used by the MDD to link to and move data between the two databases"
,MDD_species_id,the identification number of the species the name is included under as presented on the MDD_Current sheet
,MDD_comments,any comments regarding the nomenclature/taxonomy of a given name 
,extinct,"0 = extant, 1 = extinct; species has gone entirely extinct or is expected to have become extinct after 1500 CE (similar criterion as used by IUCN)"
,domestic,"0 = species is wild; 1 = species is domesticated; domestic species are treated as distinct entities for politicaly/conservation purposes here for species with ancient domestication history (19 species in total, including Homo sapiens); this arrangement follows naming guidelines from the following publication - Gentry, A., Clutton-Brock, J., & Groves, C. P. (2004). The naming of wild animal species and their domestic derivatives. Journal of Archaeological Science, 31(5), 645-651."
,flagged,"0 = valid, not flagged; 1 = flagged as taxonomically questionable; this field is often used for species with controversial taxonomic arrangements, or whos taxonomy is being debated in the taxonomic literature"
,CMW_sciName,unique combination of taxonomic genus and specific epithet with an underscore connecting them -- from the Illustrated Checklist of the Mammals of the World (CMW)
,diffSinceCMW,0 = species present in CMW taxonomy; 1 = species new since CMW 2020
,MSW3_matchtype,"category of automated or manual matching to the third edition of Mammals Species of the World (MSW3) scientific names; values are matched, unmatched, manual"
,MSW3_sciName,scientific name as matched to the MSW3 taxonomy
,diffSinceMSW3,0 = species present in MSW3 taxonomy; 1 = species is new since MSW3 cutoff of ~2004
