"MDDv1.0 Name","MDDv1.1 Name","Comment","Category","Reference"
"Solenodon_cubanus","Atopogale_cubana","moved from Solenodon to Atopogale","genus change","Roca, A.L., Bar-Gal, G.K., Eizirik, E., Helgen, K.M., Maria, R., Springer, M.S., O'Brien, S.J. and Murphy, W.J. 2004. Mesozoic origin for West Indian insectivores. Nature 429: 649-651."
"Eptesicus_dimissus","Cassistrellus_dimissus","moved from Eptesicus to Cassistrellus","genus change","Ruedi, M., Eger, J. L., Lim, B. K., & Csorba, G. (2018). A new genus and species of vespertilionid bat from the Indomalayan Region. Journal of mammalogy, 99(1), 209-222."
"Crossogale_hantu","Chimarrogale_hantu","moved from Crossogale to Chimarrogale","genus change","Abramov, A. V., Bannikova, A. A., Lebedev, V. S., & Rozhnov, V. V. (2017). Revision of Chimarrogale (Lipotyphla: Soricidae) from Vietnam with comments on taxonomy and biogeography of Asiatic water shrews. Zootaxa, 4232(2), 216-230.|Wilson D.E. & Mittermeier R.A. 2018. Handbook of the mammals of the world. Vol. 8. Insectivores, Colugos, and Sloths. Lynx Edicions, Barcelona."
"Crossogale_phaeura","Chimarrogale_phaeura","moved from Crossogale to Chimarrogale","genus change","Abramov, A. V., Bannikova, A. A., Lebedev, V. S., & Rozhnov, V. V. (2017). Revision of Chimarrogale (Lipotyphla: Soricidae) from Vietnam with comments on taxonomy and biogeography of Asiatic water shrews. Zootaxa, 4232(2), 216-230.|Wilson D.E. & Mittermeier R.A. 2018. Handbook of the mammals of the world. Vol. 8. Insectivores, Colugos, and Sloths. Lynx Edicions, Barcelona."
"Crossogale_sumatrana","Chimarrogale_sumatrana","moved from Crossogale to Chimarrogale","genus change","Abramov, A. V., Bannikova, A. A., Lebedev, V. S., & Rozhnov, V. V. (2017). Revision of Chimarrogale (Lipotyphla: Soricidae) from Vietnam with comments on taxonomy and biogeography of Asiatic water shrews. Zootaxa, 4232(2), 216-230.|Wilson D.E. & Mittermeier R.A. 2018. Handbook of the mammals of the world. Vol. 8. Insectivores, Colugos, and Sloths. Lynx Edicions, Barcelona."
"Niumbaha_superba","Glauconycteris_superba","moved from Niumbaha to Glauconycteris","genus change","Reeder, D. M., Helgen, K. M., Vodzak, M. E., Lunde, D. P., & Ejotre, I. (2013). A new genus for a rare African vespertilionid bat: insights from South Sudan. ZooKeys, (285), 89-115.|Hassanin, A., Colombo, R., Gembu, G. C., Merle, M., Tu, V. T., Görföl, T., ... & Ing, R. K. (2018). Multilocus phylogeny and species delimitation within the genus Glauconycteris (Chiroptera, Vespertilionidae), with the description of a new bat species from the Tshopo Province of the Democratic Republic of the Congo. Journal of Zoological Systematics and Evolutionary Research, 56(1), 1-22."
"Leontocebus_cruzlimai","Saguinus_cruzlimai","moved from Leontocebus to Saguinus","genus change","Rylands, A. B., Heymann, E. W., Lynch Alfaro, J., Buckner, J. C., Roos, C., Matauschek, C., ... & Mittermeier, R. A. (2016). Taxonomic review of the new world tamarins (primates: Callitrichidae). Zoological Journal of the Linnean Society, 177(4), 1003-1028.|Gutiérrez, E. E., & Marinho-Filho, J. (2017). The mammalian faunas endemic to the Cerrado and the Caatinga. ZooKeys, (644), 105.|Garbino, G. S., & Martins-Junior, A. M. (2018). Phenotypic evolution in marmoset and tamarin monkeys (Cebidae, Callitrichinae) and a revised genus-level classification. Molecular phylogenetics and evolution, 118, 156-171.|Teta, P. (2019). The usage of subgenera in mammalian taxonomy. Mammalia, 83(3), 209-211.|Brcko, I. C., Carneiro, J., Ruiz-Garcia, M., Boubli, J. P., e Silva-Júnior, J. D. S., Farias, I., ... & Sampaio, I. (2022). Phylogenetics and an updated taxonomic status of the Tamarins (Callitrichinae, Cebidae). Molecular Phylogenetics and Evolution, 173, 107504.|Lopes, G. P., Rohe, F., Bertuol, F., Polo, É., Valsecchi, J., Santos, T. C. M., ... & Hrbek, T. (2023). Molecular systematics of tamarins with emphasis on genus Tamarinus (Primates, Callitrichidae). Zoologica Scripta, 52(6), 556-570."
"Leontocebus_fuscicollis","Saguinus_fuscicollis","moved from Leontocebus to Saguinus","genus change","Rylands, A. B., Heymann, E. W., Lynch Alfaro, J., Buckner, J. C., Roos, C., Matauschek, C., ... & Mittermeier, R. A. (2016). Taxonomic review of the new world tamarins (primates: Callitrichidae). Zoological Journal of the Linnean Society, 177(4), 1003-1028.|Gutiérrez, E. E., & Marinho-Filho, J. (2017). The mammalian faunas endemic to the Cerrado and the Caatinga. ZooKeys, (644), 105.|Garbino, G. S., & Martins-Junior, A. M. (2018). Phenotypic evolution in marmoset and tamarin monkeys (Cebidae, Callitrichinae) and a revised genus-level classification. Molecular phylogenetics and evolution, 118, 156-171.|Teta, P. (2019). The usage of subgenera in mammalian taxonomy. Mammalia, 83(3), 209-211.|Brcko, I. C., Carneiro, J., Ruiz-Garcia, M., Boubli, J. P., e Silva-Júnior, J. D. S., Farias, I., ... & Sampaio, I. (2022). Phylogenetics and an updated taxonomic status of the Tamarins (Callitrichinae, Cebidae). Molecular Phylogenetics and Evolution, 173, 107504.|Lopes, G. P., Rohe, F., Bertuol, F., Polo, É., Valsecchi, J., Santos, T. C. M., ... & Hrbek, T. (2023). Molecular systematics of tamarins with emphasis on genus Tamarinus (Primates, Callitrichidae). Zoologica Scripta, 52(6), 556-570."
"Leontocebus_illigeri","Saguinus_illigeri","moved from Leontocebus to Saguinus","genus change","Rylands, A. B., Heymann, E. W., Lynch Alfaro, J., Buckner, J. C., Roos, C., Matauschek, C., ... & Mittermeier, R. A. (2016). Taxonomic review of the new world tamarins (primates: Callitrichidae). Zoological Journal of the Linnean Society, 177(4), 1003-1028.|Gutiérrez, E. E., & Marinho-Filho, J. (2017). The mammalian faunas endemic to the Cerrado and the Caatinga. ZooKeys, (644), 105.|Garbino, G. S., & Martins-Junior, A. M. (2018). Phenotypic evolution in marmoset and tamarin monkeys (Cebidae, Callitrichinae) and a revised genus-level classification. Molecular phylogenetics and evolution, 118, 156-171.|Teta, P. (2019). The usage of subgenera in mammalian taxonomy. Mammalia, 83(3), 209-211.|Brcko, I. C., Carneiro, J., Ruiz-Garcia, M., Boubli, J. P., e Silva-Júnior, J. D. S., Farias, I., ... & Sampaio, I. (2022). Phylogenetics and an updated taxonomic status of the Tamarins (Callitrichinae, Cebidae). Molecular Phylogenetics and Evolution, 173, 107504.|Lopes, G. P., Rohe, F., Bertuol, F., Polo, É., Valsecchi, J., Santos, T. C. M., ... & Hrbek, T. (2023). Molecular systematics of tamarins with emphasis on genus Tamarinus (Primates, Callitrichidae). Zoologica Scripta, 52(6), 556-570."
"Leontocebus_lagonotus","Saguinus_lagonotus","moved from Leontocebus to Saguinus","genus change","Rylands, A. B., Heymann, E. W., Lynch Alfaro, J., Buckner, J. C., Roos, C., Matauschek, C., ... & Mittermeier, R. A. (2016). Taxonomic review of the new world tamarins (primates: Callitrichidae). Zoological Journal of the Linnean Society, 177(4), 1003-1028.|Gutiérrez, E. E., & Marinho-Filho, J. (2017). The mammalian faunas endemic to the Cerrado and the Caatinga. ZooKeys, (644), 105.|Garbino, G. S., & Martins-Junior, A. M. (2018). Phenotypic evolution in marmoset and tamarin monkeys (Cebidae, Callitrichinae) and a revised genus-level classification. Molecular phylogenetics and evolution, 118, 156-171.|Teta, P. (2019). The usage of subgenera in mammalian taxonomy. Mammalia, 83(3), 209-211.|Brcko, I. C., Carneiro, J., Ruiz-Garcia, M., Boubli, J. P., e Silva-Júnior, J. D. S., Farias, I., ... & Sampaio, I. (2022). Phylogenetics and an updated taxonomic status of the Tamarins (Callitrichinae, Cebidae). Molecular Phylogenetics and Evolution, 173, 107504.|Lopes, G. P., Rohe, F., Bertuol, F., Polo, É., Valsecchi, J., Santos, T. C. M., ... & Hrbek, T. (2023). Molecular systematics of tamarins with emphasis on genus Tamarinus (Primates, Callitrichidae). Zoologica Scripta, 52(6), 556-570."
"Leontocebus_leucogenys","Saguinus_leucogenys","moved from Leontocebus to Saguinus","genus change","Rylands, A. B., Heymann, E. W., Lynch Alfaro, J., Buckner, J. C., Roos, C., Matauschek, C., ... & Mittermeier, R. A. (2016). Taxonomic review of the new world tamarins (primates: Callitrichidae). Zoological Journal of the Linnean Society, 177(4), 1003-1028.|Gutiérrez, E. E., & Marinho-Filho, J. (2017). The mammalian faunas endemic to the Cerrado and the Caatinga. ZooKeys, (644), 105.|Garbino, G. S., & Martins-Junior, A. M. (2018). Phenotypic evolution in marmoset and tamarin monkeys (Cebidae, Callitrichinae) and a revised genus-level classification. Molecular phylogenetics and evolution, 118, 156-171.|Teta, P. (2019). The usage of subgenera in mammalian taxonomy. Mammalia, 83(3), 209-211.|Brcko, I. C., Carneiro, J., Ruiz-Garcia, M., Boubli, J. P., e Silva-Júnior, J. D. S., Farias, I., ... & Sampaio, I. (2022). Phylogenetics and an updated taxonomic status of the Tamarins (Callitrichinae, Cebidae). Molecular Phylogenetics and Evolution, 173, 107504.|Lopes, G. P., Rohe, F., Bertuol, F., Polo, É., Valsecchi, J., Santos, T. C. M., ... & Hrbek, T. (2023). Molecular systematics of tamarins with emphasis on genus Tamarinus (Primates, Callitrichidae). Zoologica Scripta, 52(6), 556-570."
"Leontocebus_nigricollis","Saguinus_nigricollis","moved from Leontocebus to Saguinus","genus change","Rylands, A. B., Heymann, E. W., Lynch Alfaro, J., Buckner, J. C., Roos, C., Matauschek, C., ... & Mittermeier, R. A. (2016). Taxonomic review of the new world tamarins (primates: Callitrichidae). Zoological Journal of the Linnean Society, 177(4), 1003-1028.|Gutiérrez, E. E., & Marinho-Filho, J. (2017). The mammalian faunas endemic to the Cerrado and the Caatinga. ZooKeys, (644), 105.|Garbino, G. S., & Martins-Junior, A. M. (2018). Phenotypic evolution in marmoset and tamarin monkeys (Cebidae, Callitrichinae) and a revised genus-level classification. Molecular phylogenetics and evolution, 118, 156-171.|Teta, P. (2019). The usage of subgenera in mammalian taxonomy. Mammalia, 83(3), 209-211.|Brcko, I. C., Carneiro, J., Ruiz-Garcia, M., Boubli, J. P., e Silva-Júnior, J. D. S., Farias, I., ... & Sampaio, I. (2022). Phylogenetics and an updated taxonomic status of the Tamarins (Callitrichinae, Cebidae). Molecular Phylogenetics and Evolution, 173, 107504.|Lopes, G. P., Rohe, F., Bertuol, F., Polo, É., Valsecchi, J., Santos, T. C. M., ... & Hrbek, T. (2023). Molecular systematics of tamarins with emphasis on genus Tamarinus (Primates, Callitrichidae). Zoologica Scripta, 52(6), 556-570."
"Leontocebus_nigrifrons","Saguinus_nigrifrons","moved from Leontocebus to Saguinus","genus change","Rylands, A. B., Heymann, E. W., Lynch Alfaro, J., Buckner, J. C., Roos, C., Matauschek, C., ... & Mittermeier, R. A. (2016). Taxonomic review of the new world tamarins (primates: Callitrichidae). Zoological Journal of the Linnean Society, 177(4), 1003-1028.|Gutiérrez, E. E., & Marinho-Filho, J. (2017). The mammalian faunas endemic to the Cerrado and the Caatinga. ZooKeys, (644), 105.|Garbino, G. S., & Martins-Junior, A. M. (2018). Phenotypic evolution in marmoset and tamarin monkeys (Cebidae, Callitrichinae) and a revised genus-level classification. Molecular phylogenetics and evolution, 118, 156-171.|Teta, P. (2019). The usage of subgenera in mammalian taxonomy. Mammalia, 83(3), 209-211.|Brcko, I. C., Carneiro, J., Ruiz-Garcia, M., Boubli, J. P., e Silva-Júnior, J. D. S., Farias, I., ... & Sampaio, I. (2022). Phylogenetics and an updated taxonomic status of the Tamarins (Callitrichinae, Cebidae). Molecular Phylogenetics and Evolution, 173, 107504.|Lopes, G. P., Rohe, F., Bertuol, F., Polo, É., Valsecchi, J., Santos, T. C. M., ... & Hrbek, T. (2023). Molecular systematics of tamarins with emphasis on genus Tamarinus (Primates, Callitrichidae). Zoologica Scripta, 52(6), 556-570."
"Leontocebus_tripartitus","Saguinus_tripartitus","moved from Leontocebus to Saguinus","genus change","Rylands, A. B., Heymann, E. W., Lynch Alfaro, J., Buckner, J. C., Roos, C., Matauschek, C., ... & Mittermeier, R. A. (2016). Taxonomic review of the new world tamarins (primates: Callitrichidae). Zoological Journal of the Linnean Society, 177(4), 1003-1028.|Gutiérrez, E. E., & Marinho-Filho, J. (2017). The mammalian faunas endemic to the Cerrado and the Caatinga. ZooKeys, (644), 105.|Garbino, G. S., & Martins-Junior, A. M. (2018). Phenotypic evolution in marmoset and tamarin monkeys (Cebidae, Callitrichinae) and a revised genus-level classification. Molecular phylogenetics and evolution, 118, 156-171.|Teta, P. (2019). The usage of subgenera in mammalian taxonomy. Mammalia, 83(3), 209-211.|Brcko, I. C., Carneiro, J., Ruiz-Garcia, M., Boubli, J. P., e Silva-Júnior, J. D. S., Farias, I., ... & Sampaio, I. (2022). Phylogenetics and an updated taxonomic status of the Tamarins (Callitrichinae, Cebidae). Molecular Phylogenetics and Evolution, 173, 107504.|Lopes, G. P., Rohe, F., Bertuol, F., Polo, É., Valsecchi, J., Santos, T. C. M., ... & Hrbek, T. (2023). Molecular systematics of tamarins with emphasis on genus Tamarinus (Primates, Callitrichidae). Zoologica Scripta, 52(6), 556-570."
"Leontocebus_weddelli","Saguinus_weddelli","moved from Leontocebus to Saguinus","genus change","Rylands, A. B., Heymann, E. W., Lynch Alfaro, J., Buckner, J. C., Roos, C., Matauschek, C., ... & Mittermeier, R. A. (2016). Taxonomic review of the new world tamarins (primates: Callitrichidae). Zoological Journal of the Linnean Society, 177(4), 1003-1028.|Gutiérrez, E. E., & Marinho-Filho, J. (2017). The mammalian faunas endemic to the Cerrado and the Caatinga. ZooKeys, (644), 105.|Garbino, G. S., & Martins-Junior, A. M. (2018). Phenotypic evolution in marmoset and tamarin monkeys (Cebidae, Callitrichinae) and a revised genus-level classification. Molecular phylogenetics and evolution, 118, 156-171.|Teta, P. (2019). The usage of subgenera in mammalian taxonomy. Mammalia, 83(3), 209-211.|Brcko, I. C., Carneiro, J., Ruiz-Garcia, M., Boubli, J. P., e Silva-Júnior, J. D. S., Farias, I., ... & Sampaio, I. (2022). Phylogenetics and an updated taxonomic status of the Tamarins (Callitrichinae, Cebidae). Molecular Phylogenetics and Evolution, 173, 107504.|Lopes, G. P., Rohe, F., Bertuol, F., Polo, É., Valsecchi, J., Santos, T. C. M., ... & Hrbek, T. (2023). Molecular systematics of tamarins with emphasis on genus Tamarinus (Primates, Callitrichidae). Zoologica Scripta, 52(6), 556-570."
"Lama_pacos","Vicugna_pacos","moved from Lama to Vicugna","genus change","Gentry, A., Clutton-Brock, J., & Groves, C. P. (2004). The naming of wild animal species and their domestic derivatives. Journal of Archaeological Science, 31(5), 645-651."
"Lama_vicugna","Vicugna_vicugna","moved from Lama to Vicugna","genus change","Gentry, A., Clutton-Brock, J., & Groves, C. P. (2004). The naming of wild animal species and their domestic derivatives. Journal of Archaeological Science, 31(5), 645-651."
"Alcelaphus_lichtensteinii","Alcelaphus_buselaphus","lumped into Alcelaphus buselaphus","lump","Groves, C. P. & Grubb, P. 2011. Ungulate taxonomy. The John Hopkins University Press, Baltimore, Maryland.|Gosling, L.M. and Capellini, I. 2013. Alcelaphus buselaphus Hartebeest. In: J. S. Kingdon and M. Hoffmann (eds), The Mammals of Africa, pp. 511-526. Bloomsbury Publishing, London."
"Alexandromys_evoronensis","Alexandromys_maximowiczii","lumped into Alexandromys maximowiczii","lump","Liu, S., Jin, W., Liu, Y., Murphy, R. W., Lv, B., Hao, H., ... & Fu, J. (2016). Taxonomic position of Chinese voles of the tribe Arvicolini and the description of 2 new species from Xizang, China. Journal of Mammalogy, gyw170."
"Alexandromys_mujanensis","Alexandromys_maximowiczii","lumped into Alexandromys maximowiczii","lump","Liu, S., Jin, W., Liu, Y., Murphy, R. W., Lv, B., Hao, H., ... & Fu, J. (2016). Taxonomic position of Chinese voles of the tribe Arvicolini and the description of 2 new species from Xizang, China. Journal of Mammalogy, gyw170."
"Microtus_hyperboreus","Alexandromys_middendorffii","lumped into Alexandromys middendorffii","lump","Liu, S., Jin, W., Liu, Y., Murphy, R. W., Lv, B., Hao, H., ... & Fu, J. (2016). Taxonomic position of Chinese voles of the tribe Arvicolini and the description of 2 new species from Xizang, China. Journal of Mammalogy, gyw170."
"Apodemus_ilex","Apodemus_draco","lumped into Apodemus draco","lump","Ge, D., Feijó, A., Cheng, J., Lu, L., Liu, R., Abramov, A. V., ... & Yang, Q. (2019). Evolutionary history of field mice (Murinae: Apodemus), with emphasis on morphological variation among species in China and description of a new species. Zoological Journal of the Linnean Society, 187(2), 518-534."
"Apodemus_avicennicus","Apodemus_witherbyi","lumped into Apodemus witherbyi","lump","Darvish, J., Javidkar, M., & Siahsarvie, R. (2006). A new species of wood mouse of the genus Apodemus (Rodentia, Muridae) from Iran. Zoology in the Middle East, 38(1), 5-16.|Darvish, J., Mohammadi, Z., Ghorbani, F., Mahmoudi, A., & Dubey, S. (2015). Phylogenetic relationships of Apodemus Kaup, 1829 (Rodentia: Muridae) species in the Eastern Mediterranean inferred from mitochondrial DNA, with emphasis on Iranian species. Journal of mammalian evolution, 22(4), 583-595."
"Chimarrogale_varennei","Chimarrogale_himalayica","lumped into Chimarrogale himalayica","lump","Abramov, A. V., Bannikova, A. A., Lebedev, V. S., & Rozhnov, V. V. (2017). Revision of Chimarrogale (Lipotyphla: Soricidae) from Vietnam with comments on taxonomy and biogeography of Asiatic water shrews. Zootaxa, 4232(2), 216-230."
"Craseomys_imaizumii","Craseomys_andersoni","lumped into Craseomys andersoni","lump","Abe, H., Ishii, N., Ito, T., Kaneko, Y., Maeda, K., Miura, S. and Yoneda, M. 2005. A Guide to the Mammals of Japan. Tokai University Press, Kanagawa, Japan.|Kohli, B. A., Speer, K. A., Kilpatrick, C. W., Batsaikhan, N., Damdinbaza, D., & Cook, J. A. (2014). Multilocus systematics and non-punctuated evolution of Holarctic Myodini (Rodentia: Arvicolinae). Molecular phylogenetics and evolution, 76, 18-29.|Abramson, N.I., Lissovsky, A.A., 2012. Subfamily Arvicolinae. In: Pavlinov, I.Y.,Lissovsky, A.A. (Eds.), The Mammals of Russia: A Taxonomic and Geographic Reference. KMK Scientific Press, Moscow, pp. 220-276.)."
"Cricetulus_lama","Cricetulus_kamensis","lumped into Cricetulus kamensis","lump","Smith, A. T. & Xie, Y. (2008). A Guide to the Mammals of China. Princeton University Press, Princeton, New Jersey.|Lebedev, V. S., Bannikova, A. A., Neumann, K., Ushakova, M. V., Ivanova, N. V., & Surov, A. V. (2018). Molecular phylogenetics and taxonomy of dwarf hamsters Cricetulus Milne-Edwards, 1867 (Cricetidae, Rodentia): description of a new genus and reinstatement of another. Zootaxa, 4387(2), 331-349."
"Cricetulus_tibetanus","Cricetulus_kamensis","lumped into Cricetulus kamensis","lump","Smith, A. T. & Xie, Y. (2008). A Guide to the Mammals of China. Princeton University Press, Princeton, New Jersey.|Lebedev, V. S., Bannikova, A. A., Neumann, K., Ushakova, M. V., Ivanova, N. V., & Surov, A. V. (2018). Molecular phylogenetics and taxonomy of dwarf hamsters Cricetulus Milne-Edwards, 1867 (Cricetidae, Rodentia): description of a new genus and reinstatement of another. Zootaxa, 4387(2), 331-349."
"Dicrostonyx_vinogradovi","Dicrostonyx_groenlandicus","lumped into Dicrostonyx groenlandicus","lump","Pavlinov, I., & Lissovsky, A. A. (2012) The mammals of Russia: a taxonomic and geographic reference. In: Kalyakin MV (ed) Archives of zoological museum of Moscow state university. KMK Scientific Press Ltd, Moscow, pp. 1-604."
"Dromiciops_bozinovici","Dromiciops_gliroides","lumped into Dromiciops gliroides","lump","D'Elía, G., Hurtado, N., & D'Anatro, A. (2016). Alpha taxonomy of Dromiciops (Microbiotheriidae) with the description of 2 new species of monito del monte. Journal of Mammalogy, 97(4), 1136-1152.|Valladares-Gómez, A., Celis-Diez, J. L., Palma, R. E., & Manríquez, G. S. (2017). Cranial morphological variation of Dromiciops gliroides (Microbiotheria) along its geographical distribution in south-central Chile: a three-dimensional analysis. Mammalian Biology, 87(1), 107-117.|Martin, G. M. (2018). Variability and variation in Dromiciops Thomas, 1894 (Marsupialia, Microbiotheria, Microbiotheriidae). Journal of Mammalogy, 99(1), 159-173.|Suárez-Villota, E. Y., Quercia, C. A., Nuñez, J. J., Gallardo, M. H., Himes, C. M., & Kenagy, G. J. (2018). Monotypic status of the South American relictual marsupial Dromiciops gliroides (Microbiotheria). Journal of Mammalogy, 99(4), 803-812.|Quintero-Galvis, J. F., Saenz-Agudelo, P., Amico, G. C., Vazquez, S., Shafer, A. B., & Nespolo, R. F. (2022). Genomic diversity and demographic history of the Dromiciops genus (Marsupialia: Microbiotheriidae). Molecular Phylogenetics and Evolution, 168, 107405."
