MDDv1.1_SciName,MDDv1.2_SciName,Comments,Category,References
NA,Biswamoyopterus_gaoligongensis,recently described,de novo,"Li, Q., Li, X. Y., Jackson, S. M., Li, F., Jiang, M., Zhao, W., ... & Jiang, X. L. (2019). Discovery and description of a mysterious Asian flying squirrel (Rodentia, Sciuridae, Biswamoyopterus) from Mount Gaoligong, southwest China. ZooKeys, 864, 147.|Li, G., Lwin, Y. H., Yang, B., Qin, T., Phothisath, P., Maung, K. W., ... & Li, S. (2020). Taxonomic revision and phylogenetic position of the flying squirrel genus Biswamoyopterus (Mammalia, Rodentia, Sciuridae, Pteromyini) on the northern Indo-China peninsula. ZooKeys, 939, 65."
NA,Brucepattersonius_nebulosus,recently described,de novo,"de Abreu-Júnior, E. F., & Percequillo, A. R. (2019). Small mammals of the Estação Ecológica de Bananal, southeastern Atlantic Forest, Brazil, with description of a new species of Brucepattersonius (Rodentia, Sigmodontinae). Arquivos De Zoologia, 50(1), 1-116."
NA,Cacajao_ayresi,recently described,de novo,"Boubli, J. P., da Silva, M. N. F., Amado, M. V., Hrbek, T., Pontual, F. B., & Farias, I. P. (2008). A taxonomic reassessment of Cacajao melanocephalus Humboldt (1811), with the description of two new species. International Journal of Primatology, 29(3), 723-741.|Ferrari, S. F., Guedes, P. G., Figueiredo-Ready, W. M., & Barnett, A. A. (2014). Reconsidering the taxonomy of the Black-Faced Uacaris, Cacajao melanocephalus group (Mammalia: Pitheciidae), from the northern Amazon Basin. Zootaxa, 3866(3), 353-370."
NA,Cacajao_hosomi,recently described,de novo,"Boubli, J. P., da Silva, M. N. F., Amado, M. V., Hrbek, T., Pontual, F. B., & Farias, I. P. (2008). A taxonomic reassessment of Cacajao melanocephalus Humboldt (1811), with the description of two new species. International Journal of Primatology, 29(3), 723-741.|Ferrari, S. F., Guedes, P. G., Figueiredo-Ready, W. M., & Barnett, A. A. (2014). Reconsidering the taxonomy of the Black-Faced Uacaris, Cacajao melanocephalus group (Mammalia: Pitheciidae), from the northern Amazon Basin. Zootaxa, 3866(3), 353-370."
NA,Callosciurus_honkhoaiensis,recently described,de novo,"Nguyen, S. T., Oshida, T., Dang, P. H., Bui, H. T., & Motokawa, M. (2018). A new species of squirrel (Sciuridae: Callosciurus) from an isolated island off the Indochina Peninsula in southern Vietnam. Journal of Mammalogy, 99(4), 813-825."
NA,Chaeropus_yirratji,recently described,de novo,"Travouillon, K. J., Simões, B. F., Miguez, R. P., Brace, S., Brewer, P., Stemmer, D., ... & Louys, J. (2019). Hidden in plain sight: reassessment of the pig-footed bandicoot, Chaeropus ecaudatus (Peramelemorphia, Chaeropodidae), with a description of a new species from central australia, and use of the fossil record to trace its past distribution. Zootaxa, 4566(1), 1-69."
NA,Chaetodipus_durangae,recently described,de novo,"Neiswenter, S. A., Hafner, D. J., Light, J. E., Cepeda, G. D., Kinzer, K. C., Alexander, L. F., & Riddle, B. R. (2019). Phylogeography and taxonomic revision of Nelson's pocket mouse (Chaetodipus nelsoni). Journal of Mammalogy, 100(6), 1847-1864."
NA,Crocidura_anhuiensis,recently described,de novo,"Zhang, H., Wu, G., Wu, Y., Yao, J., You, S., Wang, C., ... & Zhang, B. (2019). A new species of the genus Crocidura from China based on molecular and morphological data (Eulipotyphla: Soricidae). 动物分类学报, 44(4), 279-293.|Li, H., Li, Y., Motokawa, M., Wu, Y., Harada, M., & Li, Y. (2023). The Effectiveness of Molecular, Karyotype and Morphological Methods in the Identification of Morphologically Conservative Sibling Species: An Integrative Taxonomic Case of the Crocidura attenuata Species Complex in Mainland China. Animals, 13(4), 643."
NA,Crocidura_caudipilosa,recently described,de novo,"Esselstyn, J. A., Achmadi, A. S., Handika, H., Giarla, T. C., & Rowe, K. C. (2019). A new climbing shrew from Sulawesi highlights the tangled taxonomy of an endemic radiation. Journal of Mammalogy, 100(6), 1713-1725."
NA,Crocidura_dongyangjiangensis,recently described,de novo,"Yang, L., Zhang, H., Zhang, C., Wu, J., Wang, Z., Li, C., & Zhang, B. (2020). A new species of the genus Crocidura (Mammalia: Eulipotyphla: Soricidae) from Mount Huang, China. 动物分类学报, 45(1), 1-14."
NA,Crocidura_huangshanensis,recently described,de novo,"Liu, Y., Chen, S., Liu, B., Liao, R., Liu, Y., & Liu, S. (2020). A new species of the genus Crocidura (Eulipotyphla: Soricidae) from Zhejiang Province, eastern China. Acta Theriologica Sinica, 40(1), 1-12.|Yang, L., Zhang, H., Zhang, C., Wu, J., Wang, Z., Li, C., & Zhang, B. (2020). A new species of the genus Crocidura (Mammalia: Eulipotyphla: Soricidae) from Mount Huang, China. 动物分类学报, 45(1), 1-14.|Chen, S., Chen, D., Tang, K., Qin, B., Xie F., Fu, C., Liu Y., & Liu, S. (2021). Discussion of taxonomic status of Crocidura dongyangjiangensis Liu Y, Chen SD,and Liu SY, 2020 and Crocidura huangshanensis Yang, BW Zhang and Li, 2020. Acta Theriologica Sinica. 41(1), 108-114.|Li, H., Li, Y., Motokawa, M., Wu, Y., Harada, M., & Li, Y. (2023). The Effectiveness of Molecular, Karyotype and Morphological Methods in the Identification of Morphologically Conservative Sibling Species: An Integrative Taxonomic Case of the Crocidura attenuata Species Complex in Mainland China. Animals, 13(4), 643."
NA,Cryptotis_eckerlini,recently described,de novo,"Woodman, N. (2019). Three New Species of Small-eared Shrews, Genus Cryptotis, from El Salvador, Guatemala, and Honduras (Mammalia: Eulipotyphla: Soricidae). Special Publications of the Museum of Texas Tech University, 72, 1-46"
NA,Cryptotis_matsoni,recently described,de novo,"Woodman, N. (2019). Three New Species of Small-eared Shrews, Genus Cryptotis, from El Salvador, Guatemala, and Honduras (Mammalia: Eulipotyphla: Soricidae). Special Publications of the Museum of Texas Tech University, 72, 1-46"
NA,Cryptotis_montecristo,recently described,de novo,"Woodman, N. (2019). Three New Species of Small-eared Shrews, Genus Cryptotis, from El Salvador, Guatemala, and Honduras (Mammalia: Eulipotyphla: Soricidae). Special Publications of the Museum of Texas Tech University, 72, 1-46"
NA,Ctenomys_bidaui,recently described,de novo,"Teta P, D'Elía G. 2020. Uncovering the species diversity of subterranean rodents at the end of the World: three new species of Patagonian tuco-tucos (Rodentia, Hystricomorpha, Ctenomys) PeerJ 8:e9259 https://doi.org/10.7717/peerj.9259"
NA,Ctenomys_contrerasi,recently described,de novo,"Teta P, D'Elía G. 2020. Uncovering the species diversity of subterranean rodents at the end of the World: three new species of Patagonian tuco-tucos (Rodentia, Hystricomorpha, Ctenomys) PeerJ 8:e9259 https://doi.org/10.7717/peerj.9259"
NA,Ctenomys_thalesi,recently described,de novo,"Teta P, D'Elía G. 2020. Uncovering the species diversity of subterranean rodents at the end of the World: three new species of Patagonian tuco-tucos (Rodentia, Hystricomorpha, Ctenomys) PeerJ 8:e9259 https://doi.org/10.7717/peerj.9259"
NA,Dryomys_yarkandensis,recently described,de novo,"Bisconti, R., Aloise, G., Siclari, A., Fava, V., Provenzano, M., Arduino, P., ... & Canestrelli, D. (2017). Forest Dormouse (Dryomys nitedula) populations in southern Italy belong to a deeply divergent evolutionary lineage. bioRxiv, 210070.|Mohammadi, Z., Kami, H. G., Ghorbani, F., Khajeh, A., & Olsson, U. (2020). Cryptic lineage diversity within Forest Dormice (Mammalia: Dryomys nitedula) revealed by deep genetic divergence among different subspecies on the Iranian Plateau and in adjacent areas. Mammalian Biology, 1-14.|Liao, L., An, R., Shi, S., Xu, Y., Luo, Y., & Liao, W. (2020). One New Species of the Genus Dryomys (Rodentia, Glirgae) from Xinjiang China, Dryomys Yarkandensis sp. nov. bioRxiv."
NA,Eliurus_tsingimbato,recently described,de novo,"Jansa, S. A., Carleton, M. D., Soarimalala, V., Rakotomalala, Z., & Goodman, S. M. (2019). A Review of the Eliurus tanala Complex (Rodentia: Muroidea: Nesomyidae), with Description of a New Species from Dry Forests of Western Madagascar. Bulletin of the American Museum of Natural History, 2019(430), 1-69."
NA,Eothenomys_jinyangensis,recently described,de novo,"Liu, S. Y., Chen, S. D., He, K., Tang, M., Liu, Y., Jin, W., ... & Fu, J. R. (2019). Molecular phylogeny and taxonomy of subgenus Eothenomys (Cricetidae: Arvicolinae: Eothenomys) with the description of four new species from Sichuan, China. Zoological Journal of the Linnean Society, 186(2), 569-598."
NA,Eothenomys_luojishanensis,recently described,de novo,"Liu, S. Y., Chen, S. D., He, K., Tang, M., Liu, Y., Jin, W., ... & Fu, J. R. (2019). Molecular phylogeny and taxonomy of subgenus Eothenomys (Cricetidae: Arvicolinae: Eothenomys) with the description of four new species from Sichuan, China. Zoological Journal of the Linnean Society, 186(2), 569-598."
NA,Eothenomys_meiguensis,recently described,de novo,"Liu, S. Y., Chen, S. D., He, K., Tang, M., Liu, Y., Jin, W., ... & Fu, J. R. (2019). Molecular phylogeny and taxonomy of subgenus Eothenomys (Cricetidae: Arvicolinae: Eothenomys) with the description of four new species from Sichuan, China. Zoological Journal of the Linnean Society, 186(2), 569-598."
NA,Eothenomys_shimianensis,recently described,de novo,"Liu, S. Y., Chen, S. D., He, K., Tang, M., Liu, Y., Jin, W., ... & Fu, J. R. (2019). Molecular phylogeny and taxonomy of subgenus Eothenomys (Cricetidae: Arvicolinae: Eothenomys) with the description of four new species from Sichuan, China. Zoological Journal of the Linnean Society, 186(2), 569-598."
NA,Eptesicus_ulapesensis,recently described,de novo,"Sánchez, R. T., Montani, M. E., Tomasco, I. H., Díaz, M. M., & Barquez, R. M. (2019). A new species of Eptesicus (Chiroptera, Vespertilionidae) from Argentina. Journal of Mammalogy, 100(1), 118-129."
NA,Geocapromys_caymanensis,recently described,de novo,"Morgan, G. S., Macphee, R. D., Woods, R., & Turvey, S. T. (2019). Late Quaternary fossil mammals from the Cayman Islands, West Indies. Bulletin of the American Museum of Natural History, 2019(428), 1-82."
NA,Hipposideros_kunzi,recently described,de novo,"Murray, S. W., Khan, F. A., Kingston, T., Zubaid, A., & Campbell, P. (2018). A new species in the Hipposideros bicolor group (Chiroptera: Hipposideridae) from Peninsular Malaysia. Acta chiropterologica, 20(1), 1-29."
NA,Hylomyscus_mpungamachagorum,recently described,de novo,"Peterhans, J. C. K., Hutterer, R., Doty, J. B., Malekani, J. M., Moyer, D. C., Krásová, J., ... & Demos, T. C. Four new species of the Hylomyscus anselli group (Mammalia: Rodentia: Muridae) from the Democratic Republic of Congo and Tanzania. Bonn zoological Bulletin, 69(1), 55–83."
NA,Hylomyscus_pygmaeus,recently described,de novo,"Peterhans, J. C. K., Hutterer, R., Doty, J. B., Malekani, J. M., Moyer, D. C., Krásová, J., ... & Demos, T. C. Four new species of the Hylomyscus anselli group (Mammalia: Rodentia: Muridae) from the Democratic Republic of Congo and Tanzania. Bonn zoological Bulletin, 69(1), 55–83."
NA,Hylomyscus_stanleyi,recently described,de novo,"Peterhans, J. C. K., Hutterer, R., Doty, J. B., Malekani, J. M., Moyer, D. C., Krásová, J., ... & Demos, T. C. Four new species of the Hylomyscus anselli group (Mammalia: Rodentia: Muridae) from the Democratic Republic of Congo and Tanzania. Bonn zoological Bulletin, 69(1), 55–83."
NA,Hylomyscus_thornesmithae,recently described,de novo,"Peterhans, J. C. K., Hutterer, R., Doty, J. B., Malekani, J. M., Moyer, D. C., Krásová, J., ... & Demos, T. C. Four new species of the Hylomyscus anselli group (Mammalia: Rodentia: Muridae) from the Democratic Republic of Congo and Tanzania. Bonn zoological Bulletin, 69(1), 55–83."
NA,Ichthyomys_pinei,recently described,de novo,"de Córdova, J. F., Nivelo-Villavicencio, C., Reyes-Puig, C., Pardiñas, U. F., & Brito, J. (2019). A new species of crab-eating rat of the genus Ichthyomys, from Ecuador (Rodentia, Cricetidae, Sigmodontinae). Mammalia, 84(4): 377-391."
NA,Kerivoula_dongduongana,recently described,de novo,"Tu, V. T., Hassanin, A., Furey, N. M., Son, N. T., & Csorba, G. (2018). Four species in one: multigene analyses reveal phylogenetic patterns within Hardwicke's woolly bat, Kerivoula hardwickii-complex (Chiroptera, Vespertilionidae) in Asia. Hystrix, the Italian Journal of Mammalogy, 29(1), 111-121."
NA,Laephotis_kirinyaga,recently described,de novo,"Monadjem, A., T. C. Demos, D. L. Dalton, P. W. Webala, S. Musila, J. C. K. Peterhans and B. D. Patterson (2021). A revision of pipistrelle-like bats (Mammalia: Chiroptera: Vespertilionidae) in East Africa with the description of new genera and species. Zoological Journal of the Linnean Society 191(4): 1114–1146."
NA,Lasiurus_arequipae,recently described,de novo,"Málaga, B. A., Díaz, D. R., Arias, S., & Medina, C. E. (2020). Una especie nueva de Lasiurus (Chiroptera: Vespertilionidae) del suroeste de Perú. Revista Mexicana de Biodiversidad, 91, e913096."
NA,Marmosops_soinii,recently described,de novo,"Voss, R. S., Fleck, D. W., & Jansa, S. A. (2019). Mammalian diversity and Matses ethnomammalogy in Amazonian Peru Part 3: Marsupials (Didelphimorphia). Bulletin of the American Museum of Natural History, 2019(432), 1-90."
NA,Maxomys_tompotika,recently described,de novo,"Achmadi, A. S. (2017). Morphological and molecular systematics of Southeast Asian spiny rats (genus Maxomys) with descriptions of two new species from Indonesia (Doctoral dissertation, 北海道大学)."
NA,Mesechinus_wangi,recently described,de novo,"Ai, H. S., He, K., Chen, Z. Z., Li, J. Q., Wan, T., Li, Q., ... & Jiang, X. L. (2018). Taxonomic revision of the genus Mesechinus (Mammalia: Erinaceidae) with description of a new species. Zoological research, 39(5), 335-347."
NA,Mico_munduruku,recently described,de novo,"Costa-Araújo, R., de Melo, F. R., Canale, G. R., Hernández-Rangel, S. M., Messias, M. R., Rossi, R. V., ... & Farias, I. P. (2019). The Munduruku marmoset: a new monkey species from southern Amazonia. PeerJ, 7, e7019."
NA,Microcebus_jonahi,recently described,de novo,"Schüßler, D., Blanco, M. B., Salmona, J., Poelstra, J., Andriambeloson, J. B., Miller, A., ... & Louis Jr, E. E. (2020). Ecology and morphology of mouse lemurs (Microcebus spp.) in a hotspot of microendemism in northeastern Madagascar, with the description of a new species. American Journal of Primatology, 82(9), e23180."
NA,Micronycteris_simmonsae,recently described,de novo,"Siles, L., & Baker, R. J. (2020). Revision of the pale‐bellied Micronycteris Gray, 1866 (Chiroptera, Phyllostomidae) with descriptions of two new species. Journal of Zoological Systematics and Evolutionary Research, 58(4), 1411-1431."
NA,Micronycteris_tresamici,recently described,de novo,"Siles, L., & Baker, R. J. (2020). Revision of the pale‐bellied Micronycteris Gray, 1866 (Chiroptera, Phyllostomidae) with descriptions of two new species. Journal of Zoological Systematics and Evolutionary Research, 58(4), 1411-1431."
NA,Miniopterus_nimbae,recently described,de novo,"Miller-Butterworth, C. M., Murphy, W. J., O'Brien, S. J., Jacobs, D. S., Springer, M. S., & Teeling, E. C. (2007). A family matter: conclusive resolution of the taxonomic position of the long-fingered bats, Miniopterus. Molecular Biology and Evolution, 24(7), 1553-1561.|Monadjem, A., Shapiro, J. T., Richards, L. R., Karabulut, H., Crawley, W., Nielsen, I. B., ... & Mourier, T. (2019). Systematics of West African Miniopterus with the description of a new species. Acta Chiropterologica, 21(2), 237-256."
NA,Miniopterus_wilsoni,recently described,de novo,"Miller-Butterworth, C. M., Murphy, W. J., O'Brien, S. J., Jacobs, D. S., Springer, M. S., & Teeling, E. C. (2007). A family matter: conclusive resolution of the taxonomic position of the long-fingered bats, Miniopterus. Molecular Biology and Evolution, 24(7), 1553-1561.|Monadjem, A., Guyton, J., Naskrecki, P., Richards, L. R., Kropff, A. S., & Dalton, D. L. (2020). Cryptic diversity in the genus Miniopterus with the description of a new species from southern Africa. Acta Chiropterologica, 22(1), 1-19."
NA,Monodelphis_vossi,recently described,de novo,"Pavan, S. E. (2019). A revision of the Monodelphis glirina group (Didelphidae: Marmosini), with a description of a new species from Roraima, Brazil. Journal of Mammalogy, 100(1), 103-117."
NA,Murina_jinchui,recently described,de novo,"Yu, W. H., Csorba, G., & Wu, Y. (2020). Tube-nosed variations–a new species of the genus Murina (Chiroptera: Vespertilionidae) from China. Zoological research, 41(1), 70."
NA,Murina_liboensis,recently described,de novo,"Zeng, X., Chen, J., Deng, H. Q., Xiao, N., & Zhou, J. (2018). A new species of Murina from China (Chiroptera: Vespertilionidae). Ekoloji, 103(27), 9-16."
NA,Myotis_ancricola,recently described,de novo,"Kruskop, S. V., Borisenko, A. V., Dudorova, A. V., & Artyushin, I. V. (2018). Description of a new Indochinese Myotis (Mammalia: Chiroptera: Vespertilionidae), with additional data on the ""M. annatessae"" species complex. Russian Journal of Theriology, 17(1), 17-31.|Ruedi, M., Saikia, U., Thabah, A., Görföl, T., Thapa, S., & Csorba, G. (2021). Molecular and morphological revision of small Myotinae from the Himalayas shed new light on the poorly known genus Submyotodon (Chiroptera: Vespertilionidae). Mammalian Biology."
NA,Myotis_bakeri,recently described,de novo,"Moratelli, R., Novaes, R. L. M., Carrion, C., & Wilson, D. (2019). A new species of Myotis (Chiroptera, Vespertilionidae) from Peru. Special Publications, Museum of Texas Tech University, 71, 239-256."
NA,Myotis_crypticus,recently described,de novo,"Juste, J., Ruedi, M., Puechmaille, S. J., Salicini, I., & Ibáñez, C. (2018). Two new cryptic bat species within the Myotis nattereri species complex (Vespertilionidae, Chiroptera) from the Western Palaearctic. Acta Chiropterologica, 20(2), 285-300.|Çoraman, E., Dietz, C., Hempel, E., Ghazaryan, A., Levin, E., Presetnik, P., ... & Mayer, F. (2019). Reticulate evolutionary history of a Western Palaearctic Bat Complex explained by multiple mt DNA introgressions in secondary contacts. Journal of Biogeography, 46(2), 343-354.|Ruedi, M., Puechmaille, S. J., Ibáñez, C., & Juste, J. (2019). Unavailable names in the Myotis nattereri species complex. Journal of Biogeography, 46(9), 2145-2146."
NA,Myotis_zenatius,recently described,de novo,"Juste, J., Ruedi, M., Puechmaille, S. J., Salicini, I., & Ibáñez, C. (2018). Two new cryptic bat species within the Myotis nattereri species complex (Vespertilionidae, Chiroptera) from the Western Palaearctic. Acta Chiropterologica, 20(2), 285-300.|Çoraman, E., Dietz, C., Hempel, E., Ghazaryan, A., Levin, E., Presetnik, P., ... & Mayer, F. (2019). Reticulate evolutionary history of a Western Palaearctic Bat Complex explained by multiple mt DNA introgressions in secondary contacts. Journal of Biogeography, 46(2), 343-354.|Ruedi, M., Puechmaille, S. J., Ibáñez, C., & Juste, J. (2019). Unavailable names in the Myotis nattereri species complex. Journal of Biogeography, 46(9), 2145-2146."
NA,Neacomys_macedoruizi,recently described,de novo,"Sánchez-Vendizú, P., Pacheco, V., & Vivas-Ruiz, D. (2018). An introduction to the systematics of small-bodied Neacomys (Rodentia: Cricetidae) from Peru with descriptions of two new species. American Museum Novitates, 2018(3913), 1-38."
NA,Neacomys_marajoara,recently described,de novo,"Semedo, T. B. F., da Silva, M. N. F., Gutiérrez, E. E., Ferreira, D. C., Nunes, M. da S., Mendes-Oliveira, A. C., Farias, I. P., & Rossi, R. V. (2020). Systematics of the Neotropical spiny mice, genus Neacomys Thomas, 1900 (Rodentia: Cricetidae), from Southeastern Amazonia, with descriptions of three new species. American Museum Novitates, 3958, 1-43."
NA,Neacomys_rosalindae,recently described,de novo,"Sánchez-Vendizú, P., Pacheco, V., & Vivas-Ruiz, D. (2018). An introduction to the systematics of small-bodied Neacomys (Rodentia: Cricetidae) from Peru with descriptions of two new species. American Museum Novitates, 2018(3913), 1-38."
NA,Neacomys_vossi,recently described,de novo,"Semedo, T. B. F., da Silva, M. N. F., Gutiérrez, E. E., Ferreira, D. C., Nunes, M. da S., Mendes-Oliveira, A. C., Farias, I. P., & Rossi, R. V. (2020). Systematics of the Neotropical spiny mice, genus Neacomys Thomas, 1900 (Rodentia: Cricetidae), from Southeastern Amazonia, with descriptions of three new species. American Museum Novitates, 3958, 1-43."
NA,Neacomys_xingu,recently described,de novo,"Semedo, T. B. F., da Silva, M. N. F., Gutiérrez, E. E., Ferreira, D. C., Nunes, M. da S., Mendes-Oliveira, A. C., Farias, I. P., & Rossi, R. V. (2020). Systematics of the Neotropical spiny mice, genus Neacomys Thomas, 1900 (Rodentia: Cricetidae), from Southeastern Amazonia, with descriptions of three new species. American Museum Novitates, 3958, 1-43."
NA,Neodon_nepalensis,recently described,de novo,"Pradhan, N., Sharma, A. N., Sherchan, A. M., Chhetri, S., Shrestha, P., & Kilpatrick, C. W. (2019). Further assessment of the Genus Neodon and the description of a new species from Nepal. PloS one, 14(7), e0219157."
NA,Nesophontes_hemicingulus,recently described,de novo,"Morgan, G. S., Macphee, R. D., Woods, R., & Turvey, S. T. (2019). Late Quaternary fossil mammals from the Cayman Islands, West Indies. Bulletin of the American Museum of Natural History, 2019(428), 1-82."
NA,Niviventer_fengi,recently described,de novo,"Ge, D., Feijó, A., Abramov, A. V., Wen, Z., Liu, Z., Cheng, J., ... & Yang, Q. (2020). Molecular phylogeny and morphological diversity of the Niviventer fulvescens species complex with emphasis on species from China. Zoological Journal of the Linnean Society, zlaa040."
NA,Niviventer_gladiusmaculus,recently described,de novo,"Ge, D., Lu, L., Xia, L., Du, Y., Wen, Z., Cheng, J., ... & Yang, Q. (2018). Molecular phylogeny, morphological diversity, and systematic revision of a species complex of common wild rat species in China (Rodentia, Murinae). Journal of Mammalogy, 99(6), 1350-1374."
NA,Notiosorex_tataticuli,recently described,de novo,"Camargo, I., & Álvarez-Castañeda, S. T. (2020). A new species and three subspecies of the desert shrew (Notiosorex) from the Baja California peninsula and California. Journal of Mammalogy, 101(3), 1-15."
NA,Nycticeinops_happoldorum,recently described,de novo,"Hutterer, R., Decher, J., Monadjem, A., & Astrin, J. (2019). A new genus and species of vesper bat from West Africa, with notes on Hypsugo, Neoromicia, and Pipistrellus (Chiroptera: Vespertilionidae). Acta Chiropterologica, 21(1), 1-22.|Monadjem, A., Richards, L. R., Decher, J., Hutterer, R., Mamba, M. L., Guyton, J., Naskrecki, P., Markotter, W., Wipfler, B., Kropff, A. S., & Dalton, D. L (2020) A phylogeny for African Pipistrellus species with the description of a new species from West Africa (Mammalia: Chiroptera). Zoological Journal of the Linneaen Society, zlaa068.|Monadjem, A., T. C. Demos, D. L. Dalton, P. W. Webala, S. Musila, J. C. K. Peterhans and B. D. Patterson (2021). A revision of pipistrelle-like bats (Mammalia: Chiroptera: Vespertilionidae) in East Africa with the description of new genera and species. Zoological Journal of the Linnean Society 191(4): 1114–1146."
NA,Nycticeinops_macrocephalus,recently described,de novo,"Hutterer, R., & Kerbis-Peterhans, J. (2019). A further new species of vesper bat from Central Africa (Chiroptera: Vespertilionidae). Lynx, n. s. (Praha), 50, 51-59.|Monadjem, A., Richards, L. R., Decher, J., Hutterer, R., Mamba, M. L., Guyton, J., Naskrecki, P., Markotter, W., Wipfler, B., Kropff, A. S., & Dalton, D. L (2020) A phylogeny for African Pipistrellus species with the description of a new species from West Africa (Mammalia: Chiroptera). Zoological Journal of the Linneaen Society, zlaa068.|Monadjem, A., T. C. Demos, D. L. Dalton, P. W. Webala, S. Musila, J. C. K. Peterhans and B. D. Patterson (2021). A revision of pipistrelle-like bats (Mammalia: Chiroptera: Vespertilionidae) in East Africa with the description of new genera and species. Zoological Journal of the Linnean Society 191(4): 1114–1146."
NA,Ochotona_flatcalvariam,recently described,de novo,"Liu, S. Y., Jin, W., Liao, R., Sun, Z. Y., Zeng, T., Fu, J. R., ... & Chen, L. M. (2017). Phylogenetic study of Ochotona based on mitochondrial Cyt b and morphology with a description of one new subgenus and five new species. Acta Theriologica Sinica, 37(1), 1-43.|Wang, X., Liang, D., Jin, W., Tang, M., Liu, S., & Zhang, P. (2020). Out of Tibet: Genomic Perspectives on the Evolutionary History of Extant Pikas. Molecular Biology and Evolution, 37(6), 1577-1592."
