MDDv1.0_name,MDDv2.0_name,Comments,Category,References
NA,Antillomys_rayi,"recently described (originally described in supplemental material in 2015, which doesn't meet the standards of the ICZN Code, officially described in 2023)",de novo,"Brace, S., Turvey, S. T., Weksler, M., Hoogland, M. L., & Barnes, I. (2015). Unexpected evolutionary diversity in a recently extinct Caribbean mammal radiation. Proceedings of the Royal Society B: Biological Sciences, 282(1807), 20142371.|Brace, S., Turvey, S.T., Weksler, M., Hoogland, M.L.P. and Barnes, I. 2023-03-27. Establishing the availability of the mammalian genus name Antillomys and species name _Antillomys rayi_ (Rodentia, Cricetidae). Therya 14(2):293-298."
NA,Apodemus_nigrus,recently described,de novo,"Ge, D., Feijó, A., Cheng, J., Lu, L., Liu, R., Abramov, A. V., ... & Yang, Q. (2019). Evolutionary history of field mice (Murinae: Apodemus), with emphasis on morphological variation among species in China and description of a new species. Zoological Journal of the Linnean Society, 187(2), 518-534.|Mezhzherin, S., & Tereshchenko, V. (2023). Taxonomic Hierarchy and Evolutionary Scenario of the Genus Group Apodemus sl (Muridae) of the Palearctic based of Genetic Differentiation in the cyt-b Gene. Zoodiversity, 57(1), 1-12."
NA,Balaenoptera_ricei,recently described,de novo,"Rosel, P. E., Wilcox, L. A., Yamada, T. K., & Mullin, K. D. (2021). A new species of baleen whale (Balaenoptera) from the Gulf of Mexico, with a review of its geographic distribution. Marine Mammal Science, 1-34."
NA,Baletemys_kampalili,recently described,de novo,"Rowsey, D. M., Duya, M. R. M., Ibañez, J. C., Jansa, S. A., Rickart, E. A., & Heaney, L. R. (2022). A new genus and species of shrew-like mouse (Rodentia: Muridae) from a new center of endemism in eastern Mindanao, Philippines. Journal of Mammalogy, gyac057."
NA,Barbastella_pacifica,recently described,de novo,"Kruskop, S. V., Kawai, K., & Tiunov, M. P. (2019). Taxonomic status of the barbastelles (Chiroptera: Vespertilionidae: Barbastella) from the Japanese archipelago and Kunashir Island. Zootaxa, 4567(3), 461-476."
NA,Berardius_minimus,recently described,de novo,"Yamada, T. K., Kitamura, S., Abe, S., Tajima, Y., Matsuda, A., Mead, J. G., & Matsuishi, T. F. (2019). Description of a new species of beaked whale (Berardius) found in the North Pacific. Scientific reports, 9(1), 1-14."
NA,Biswamoyopterus_gaoligongensis,recently described,de novo,"Li, Q., Li, X. Y., Jackson, S. M., Li, F., Jiang, M., Zhao, W., ... & Jiang, X. L. (2019). Discovery and description of a mysterious Asian flying squirrel (Rodentia, Sciuridae, Biswamoyopterus) from Mount Gaoligong, southwest China. ZooKeys, 864, 147.|Li, G., Lwin, Y. H., Yang, B., Qin, T., Phothisath, P., Maung, K. W., ... & Li, S. (2020). Taxonomic revision and phylogenetic position of the flying squirrel genus Biswamoyopterus (Mammalia, Rodentia, Sciuridae, Pteromyini) on the northern Indo-China peninsula. ZooKeys, 939, 65."
NA,Brucepattersonius_nebulosus,recently described,de novo,"de Abreu-Júnior, E. F., & Percequillo, A. R. (2019). Small mammals of the Estação Ecológica de Bananal, southeastern Atlantic Forest, Brazil, with description of a new species of Brucepattersonius (Rodentia, Sigmodontinae). Arquivos De Zoologia, 50(1), 1-116."
NA,Bullimus_carletoni,recently described,de novo,"Heaney, L. R., Kyriazis, C. C., Balete, D. S., Rickart, E. A., & Bates, J. M. (2021). A new species of Bullimus (Muridae, Rodentia) from southern Luzon Island, Philippines. Proceedings of the Biological Society of Washington, 134(1), 131-148."
NA,Cacajao_amuna,recently described,de novo,"Silva, F. E., do Amaral, J. V., Roos, C., Bowler, M., Röhe, F., Sampaio, R., ... & Boubli, J. P. (2022). Molecular phylogeny and systematics of bald uakaris, genus Cacajao Lesson, 1840 (Primates: Pitheciidae), with the description of a new species. Molecular Phylogenetics and Evolution, 173, 107509."
NA,Cacajao_ayresi,recently described,de novo,"Boubli, J. P., da Silva, M. N. F., Amado, M. V., Hrbek, T., Pontual, F. B., & Farias, I. P. (2008). A taxonomic reassessment of Cacajao melanocephalus Humboldt (1811), with the description of two new species. International Journal of Primatology, 29(3), 723-741.|Ferrari, S. F., Guedes, P. G., Figueiredo-Ready, W. M., & Barnett, A. A. (2014). Reconsidering the taxonomy of the Black-Faced Uacaris, Cacajao melanocephalus group (Mammalia: Pitheciidae), from the northern Amazon Basin. Zootaxa, 3866(3), 353-370."
NA,Cacajao_hosomi,recently described,de novo,"Boubli, J. P., da Silva, M. N. F., Amado, M. V., Hrbek, T., Pontual, F. B., & Farias, I. P. (2008). A taxonomic reassessment of Cacajao melanocephalus Humboldt (1811), with the description of two new species. International Journal of Primatology, 29(3), 723-741.|Ferrari, S. F., Guedes, P. G., Figueiredo-Ready, W. M., & Barnett, A. A. (2014). Reconsidering the taxonomy of the Black-Faced Uacaris, Cacajao melanocephalus group (Mammalia: Pitheciidae), from the northern Amazon Basin. Zootaxa, 3866(3), 353-370."
NA,Callosciurus_honkhoaiensis,recently described,de novo,"Nguyen, S. T., Oshida, T., Dang, P. H., Bui, H. T., & Motokawa, M. (2018). A new species of squirrel (Sciuridae: Callosciurus) from an isolated island off the Indochina Peninsula in southern Vietnam. Journal of Mammalogy, 99(4), 813-825."
NA,Calomyscus_behzadi,recently described,de novo,"Dezhman, M., Akbarirad, S., Aliabadian, M., Siahsarvie, R., Shafaeipour, A., & Mirshamsi, O. (2021). A new species of Calomyscus Thomas, 1905 (Calomyscidae: Rodentia) from western Iran. Turkish Journal of Zoology, 2021(45), 585-593."
NA,Calomyscus_darvishi,recently described,de novo,"Rezazadeh, E., Zali, H., Ahmadzadeh, F., Siahsarvie, R., Kilpatrick, C. W., Norris, R. W., & Aliabadian, M. (2024). Two new species of brush-tailed mouse, genus Calomyscus (Rodentia: Calomyscidae), from the Iranian Plateau. Journal of Mammalogy, gyad116."
NA,Calomyscus_kermanensis,recently described,de novo,"Dezhman, M., Akbarirad, S., Aliabadian, M., Siahsarvie, R., Shafaeipour, A., & Mirshamsi, O. (2023). A new species of brush-tailed mice of the genus Calomyscus from southern Iran (Calomyscidae: Rodentia). Iranian Journal of Animal Biosystematics, 19(1), 71-101."
NA,Calomyscus_kiabii,recently described,de novo,"Rezazadeh, E., Zali, H., Ahmadzadeh, F., Siahsarvie, R., Kilpatrick, C. W., Norris, R. W., & Aliabadian, M. (2024). Two new species of brush-tailed mouse, genus Calomyscus (Rodentia: Calomyscidae), from the Iranian Plateau. Journal of Mammalogy, gyad116."
NA,Cassistrellus_yokdonensis,recently described,de novo,"Ruedi, M., Eger, J. L., Lim, B. K., & Csorba, G. (2018). A new genus and species of vespertilionid bat from the Indomalayan Region. Journal of mammalogy, 99(1), 209-222."
NA,Chaeropus_yirratji,recently described,de novo,"Travouillon, K. J., Simões, B. F., Miguez, R. P., Brace, S., Brewer, P., Stemmer, D., ... & Louys, J. (2019). Hidden in plain sight: reassessment of the pig-footed bandicoot, Chaeropus ecaudatus (Peramelemorphia, Chaeropodidae), with a description of a new species from central australia, and use of the fossil record to trace its past distribution. Zootaxa, 4566(1), 1-69."
NA,Chaetodipus_durangae,recently described,de novo,"Neiswenter, S. A., Hafner, D. J., Light, J. E., Cepeda, G. D., Kinzer, K. C., Alexander, L. F., & Riddle, B. R. (2019). Phylogeography and taxonomic revision of Nelson's pocket mouse (Chaetodipus nelsoni). Journal of Mammalogy, 100(6), 1847-1864."
NA,Chalinolobus_orarius,recently described,de novo,"Parnaby, H.E., King, A.G., Hamilton, S. and Eldridge, M.D.B. 2024-08-06. A new species of lobe-lipped bat (_Chalinolobus_: Vespertilionidae) from southern Papua New Guinea. Zootaxa 5492(3):301-324."
NA,Cheirogaleus_grovesi,recently described,de novo,"McLain, A. T., Lei, R., Frasier, C. L., Tayor, J. M., Bailey, C. A., Robertson, B. A. D., Nash, S. D., Randriamanana, J. C., Mittermeier, R. A., & Louis Jr., E. E. (2017). A New Cheirogaleus (Cheirogaleidae: Cheirogaleus crossleyi Group) Species from Southeastern Madagascar. Primate Conservation, 31, 27-36."
NA,Cheracebus_aquinoi,recently described,de novo,"Rengifo, E. M., D'Elía, G., García, G., Charpentier, E., & Cornejo, F. M. (2022). A New Species of Titi Monkey, Genus Cheracebus Byrne et al., 2016 (Primates: Pitheciidae), from Peruvian Amazonia. Mammal Study, 48(1), 1-16.|Gutiérrez, E. E., & Marinho-Filho, J. (2017). The mammalian faunas endemic to the Cerrado and the Caatinga. ZooKeys, (644), 105.|Teta, P. (2019). The usage of subgenera in mammalian taxonomy. Mammalia, 83(3), 209-211."
NA,Chilomys_carapazi,recently described,de novo,"Brito, J., Tinoco, N., Pinto, C. M., García, R., Koch, C., Fernandez, V., ... & Pardiñas, U. F. (2022). Unlocking Andean sigmodontine diversity: five new species of Chilomys (Rodentia: Cricetidae) from the montane forests of Ecuador. PeerJ, 10, e13211."
NA,Chilomys_georgeledecii,recently described,de novo,"Brito, J., Tinoco, N., Pinto, C. M., García, R., Koch, C., Fernandez, V., ... & Pardiñas, U. F. (2022). Unlocking Andean sigmodontine diversity: five new species of Chilomys (Rodentia: Cricetidae) from the montane forests of Ecuador. PeerJ, 10, e13211."
NA,Chilomys_neisi,recently described,de novo,"Brito, J., Tinoco, N., Pinto, C. M., García, R., Koch, C., Fernandez, V., ... & Pardiñas, U. F. (2022). Unlocking Andean sigmodontine diversity: five new species of Chilomys (Rodentia: Cricetidae) from the montane forests of Ecuador. PeerJ, 10, e13211."
NA,Chilomys_percequilloi,recently described,de novo,"Brito, J., Tinoco, N., Pinto, C. M., García, R., Koch, C., Fernandez, V., ... & Pardiñas, U. F. (2022). Unlocking Andean sigmodontine diversity: five new species of Chilomys (Rodentia: Cricetidae) from the montane forests of Ecuador. PeerJ, 10, e13211."
NA,Chilomys_weksleri,recently described,de novo,"Brito, J., Tinoco, N., Pinto, C. M., García, R., Koch, C., Fernandez, V., ... & Pardiñas, U. F. (2022). Unlocking Andean sigmodontine diversity: five new species of Chilomys (Rodentia: Cricetidae) from the montane forests of Ecuador. PeerJ, 10, e13211."
NA,Chimaerodipus_auritus,recently described,de novo,"Shenbrot, G., Bannikova, A., Giraudoux, P., Quéré, J. P., Raoul, F., & Lebedev, V. (2017). A new recent genus and species of three-toed jerboas (Rodentia: Dipodinae) from China: A living fossil? Journal of Zoological Systematics and Evolutionary Research, 55(4), 356-368."
NA,Chingawaemys_rarus,recently described,de novo,"Nicolas, V., Mikula, O., Lavrenchenko, L. A., Šumbera, R., Bartáková, V., Bryjová, A., ... & Bryja, J. (2021). Phylogenomics of African radiation of Praomyini (Muridae: aMurinae) rodents: first fully resolved phylogeny, evolutionary history and delimitation of extant genera. Molecular Phylogenetics and Evolution, 107263."
NA,Chionomys_stekolnikovi,recently described,de novo,"Golenishchev, F. N., Malikov, V. G., Bannikova, A. A., Zykov, A. E., Yi?it, N., & Çolak, E. (2022). Diversity of snow voles of the “nivalis” group (Chionomys, Arvicolinae, Rodentia) in the eastern part of the range with a description of a new species. Russian Journal of Theriology, 21(1), 1-12."
NA,Chodsigoa_dabieshanensis,recently described,de novo,"Chen, Z., Hu, T., Pei, X., Yang, G., Yong, F., Xu, Z., ... & Zhang, B. (2022). A new species of Asiatic shrew of the genus Chodsigoa (Soricidae, Eulipotyphla, Mammalia) from the Dabie Mountains, Anhui Province, eastern China. ZooKeys, 1083, 129-146."
NA,Colomys_lumumbai,recently described,de novo,"Giarla, T. C., Demos, T. C., Monadjem, A., Hutterer, R., Dalton, D., Mamba, M. L., Roff, E. A., Mosher, F. M., Mikeš, V., Kofron, C. P., Kerbis Peterhans, J. C. (2020). Integrative taxonomy and phylogeography of Colomys and Nilopegamys (Rodentia: Murinae), semi-aquatic mice of Africa, with descriptions of two new species. Zoological Journal of the Linnean Society, zlaa108."
NA,Colomys_wologizi,recently described,de novo,"Giarla, T. C., Demos, T. C., Monadjem, A., Hutterer, R., Dalton, D., Mamba, M. L., Roff, E. A., Mosher, F. M., Mikeš, V., Kofron, C. P., Kerbis Peterhans, J. C. (2020). Integrative taxonomy and phylogeography of Colomys and Nilopegamys (Rodentia: Murinae), semi-aquatic mice of Africa, with descriptions of two new species. Zoological Journal of the Linnean Society, zlaa108."
NA,Cordimus_hooijeri,recently described,de novo,"Zijlstra, J. S., McFarlane, D. A., Van Den Hoek Ostende, L. W., & Lundberg, J. (2014). New rodents (Cricetidae) from the Neogene of Curaçao and Bonaire, Dutch Antilles. Palaeontology, 57(5), 895-908."
NA,Corynorhinus_leonpaniaguae,recently described,de novo,"López-Cuamatzi, I. L., Ortega, J., Ospina-Garcés, S. M., Zúñiga, G., & MacSwiney G, M. C. (2024). Molecular and morphological data suggest a new species of big-eared bat (Vespertilionidae: Corynorhinus) endemic to northeastern Mexico. Plos one, 19(2), e0296275."
NA,Crocidura_anhuiensis,recently described,de novo,"Zhang, H., Wu, G., Wu, Y., Yao, J., You, S., Wang, C., ... & Zhang, B. (2019). A new species of the genus Crocidura from China based on molecular and morphological data (Eulipotyphla: Soricidae). ??????, 44(4), 279-293.|Li, H., Li, Y., Motokawa, M., Wu, Y., Harada, M., & Li, Y. (2023). The Effectiveness of Molecular, Karyotype and Morphological Methods in the Identification of Morphologically Conservative Sibling Species: An Integrative Taxonomic Case of the Crocidura attenuata Species Complex in Mainland China. Animals, 13(4), 643."
NA,Crocidura_australis,recently described,de novo,"Esselstyn, J. A., Achmadi, A. S., Handika, H., Swanson, M. T., Giarla, T. C., & Rowe, K. C. (2021). Fourteen New, Endemic Species of Shrew (Genus Crocidura) from Sulawesi Reveal a Spectacular Island Radiation. Bulletin of the American Museum of Natural History, 454(1), 1-108."
NA,Crocidura_baletei,recently described,de novo,"Esselstyn, J. A., Achmadi, A. S., Handika, H., Swanson, M. T., Giarla, T. C., & Rowe, K. C. (2021). Fourteen New, Endemic Species of Shrew (Genus Crocidura) from Sulawesi Reveal a Spectacular Island Radiation. Bulletin of the American Museum of Natural History, 454(1), 1-108."
NA,Crocidura_balingka,recently described,de novo,"Nations, J. A., Handika, H., Mursyid, A., Darma Busta, R., Apandi, Achmadi, A. S., & Esselstyn, J. A. (2024). Three new shrews (Soricidae: Crocidura) from West Sumatra, Indonesia: elevational and morphological divergence in syntopic sister taxa. Journal of Mammalogy, gyad126."
NA,Crocidura_barapi,recently described,de novo,"Nations, J. A., Handika, H., Mursyid, A., Darma Busta, R., Apandi, Achmadi, A. S., & Esselstyn, J. A. (2024). Three new shrews (Soricidae: Crocidura) from West Sumatra, Indonesia: elevational and morphological divergence in syntopic sister taxa. Journal of Mammalogy, gyad126."
NA,Crocidura_brevicauda,recently described,de novo,"Esselstyn, J. A., Achmadi, A. S., Handika, H., Swanson, M. T., Giarla, T. C., & Rowe, K. C. (2021). Fourteen New, Endemic Species of Shrew (Genus Crocidura) from Sulawesi Reveal a Spectacular Island Radiation. Bulletin of the American Museum of Natural History, 454(1), 1-108."
NA,Crocidura_caudicrassa,recently described,de novo,"Esselstyn, J. A., Achmadi, A. S., Handika, H., Swanson, M. T., Giarla, T. C., & Rowe, K. C. (2021). Fourteen New, Endemic Species of Shrew (Genus Crocidura) from Sulawesi Reveal a Spectacular Island Radiation. Bulletin of the American Museum of Natural History, 454(1), 1-108."
NA,Crocidura_caudipilosa,recently described,de novo,"Esselstyn, J. A., Achmadi, A. S., Handika, H., Giarla, T. C., & Rowe, K. C. (2019). A new climbing shrew from Sulawesi highlights the tangled taxonomy of an endemic radiation. Journal of Mammalogy, 100(6), 1713-1725."
NA,Crocidura_dewi,recently described,de novo,"Nations, J. A., Handika, H., Mursyid, A., Darma Busta, R., Apandi, Achmadi, A. S., & Esselstyn, J. A. (2024). Three new shrews (Soricidae: Crocidura) from West Sumatra, Indonesia: elevational and morphological divergence in syntopic sister taxa. Journal of Mammalogy, gyad126."
NA,Crocidura_huangshanensis,recently described,de novo,"Liu, Y., Chen, S., Liu, B., Liao, R., Liu, Y., & Liu, S. (2020). A new species of the genus Crocidura (Eulipotyphla: Soricidae) from Zhejiang Province, eastern China. Acta Theriologica Sinica, 40(1), 1-12.|Yang, L., Zhang, H., Zhang, C., Wu, J., Wang, Z., Li, C., & Zhang, B. (2020). A new species of the genus Crocidura (Mammalia: Eulipotyphla: Soricidae) from Mount Huang, China. ??????, 45(1), 1-14.|Chen, S., Chen, D., Tang, K., Qin, B., Xie F., Fu, C., Liu Y., & Liu, S. (2021). Discussion of taxonomic status of Crocidura dongyangjiangensis Liu Y, Chen SD,and Liu SY, 2020 and Crocidura huangshanensis Yang, BW Zhang and Li, 2020. Acta Theriologica Sinica. 41(1), 108-114.|Li, H., Li, Y., Motokawa, M., Wu, Y., Harada, M., & Li, Y. (2023). The Effectiveness of Molecular, Karyotype and Morphological Methods in the Identification of Morphologically Conservative Sibling Species: An Integrative Taxonomic Case of the Crocidura attenuata Species Complex in Mainland China. Animals, 13(4), 643."
NA,Crocidura_makeda,recently described,de novo,"Kone?ný, A., Hutterer, R., Meheretu, Y., & Bryja, J. (2020). Two new species of Crocidura (Mammalia: Soricidae) from Ethiopia and updates on the Ethiopian shrew fauna. Journal of Vertebrate Biology, 69(2), 20064-1."
NA,Crocidura_mediocris,recently described,de novo,"Esselstyn, J. A., Achmadi, A. S., Handika, H., Swanson, M. T., Giarla, T. C., & Rowe, K. C. (2021). Fourteen New, Endemic Species of Shrew (Genus Crocidura) from Sulawesi Reveal a Spectacular Island Radiation. Bulletin of the American Museum of Natural History, 454(1), 1-108."
NA,Crocidura_microelongata,recently described,de novo,"Esselstyn, J. A., Achmadi, A. S., Handika, H., Swanson, M. T., Giarla, T. C., & Rowe, K. C. (2021). Fourteen New, Endemic Species of Shrew (Genus Crocidura) from Sulawesi Reveal a Spectacular Island Radiation. Bulletin of the American Museum of Natural History, 454(1), 1-108."
NA,Crocidura_narcondamica,recently described,de novo,"Kamalakannan, M., Sivaperuman, C., Kundu, S., Gokulakrishnan, G., Venkatraman, C., & Chandra, K. (2021). Discovery of A New Mammal Species (Soricidae: Eulipotyphla) From Narcondam Volcanic Island, India. Scientific Reports, 11, 9416."
NA,Crocidura_normalis,recently described,de novo,"Esselstyn, J. A., Achmadi, A. S., Handika, H., Swanson, M. T., Giarla, T. C., & Rowe, K. C. (2021). Fourteen New, Endemic Species of Shrew (Genus Crocidura) from Sulawesi Reveal a Spectacular Island Radiation. Bulletin of the American Museum of Natural History, 454(1), 1-108."
NA,Crocidura_ordinaria,recently described,de novo,"Esselstyn, J. A., Achmadi, A. S., Handika, H., Swanson, M. T., Giarla, T. C., & Rowe, K. C. (2021). Fourteen New, Endemic Species of Shrew (Genus Crocidura) from Sulawesi Reveal a Spectacular Island Radiation. Bulletin of the American Museum of Natural History, 454(1), 1-108."
NA,Crocidura_pallida,recently described,de novo,"Esselstyn, J. A., Achmadi, A. S., Handika, H., Swanson, M. T., Giarla, T. C., & Rowe, K. C. (2021). Fourteen New, Endemic Species of Shrew (Genus Crocidura) from Sulawesi Reveal a Spectacular Island Radiation. Bulletin of the American Museum of Natural History, 454(1), 1-108."
NA,Crocidura_parva,recently described,de novo,"Esselstyn, J. A., Achmadi, A. S., Handika, H., Swanson, M. T., Giarla, T. C., & Rowe, K. C. (2021). Fourteen New, Endemic Species of Shrew (Genus Crocidura) from Sulawesi Reveal a Spectacular Island Radiation. Bulletin of the American Museum of Natural History, 454(1), 1-108."
NA,Crocidura_pseudorhoditis,recently described,de novo,"Esselstyn, J. A., Achmadi, A. S., Handika, H., Swanson, M. T., Giarla, T. C., & Rowe, K. C. (2021). Fourteen New, Endemic Species of Shrew (Genus Crocidura) from Sulawesi Reveal a Spectacular Island Radiation. Bulletin of the American Museum of Natural History, 454(1), 1-108."
NA,Crocidura_quasielongata,recently described,de novo,"Esselstyn, J. A., Achmadi, A. S., Handika, H., Swanson, M. T., Giarla, T. C., & Rowe, K. C. (2021). Fourteen New, Endemic Species of Shrew (Genus Crocidura) from Sulawesi Reveal a Spectacular Island Radiation. Bulletin of the American Museum of Natural History, 454(1), 1-108."
NA,Crocidura_similiturba,recently described,de novo,"Kone?ný, A., Hutterer, R., Meheretu, Y., & Bryja, J. (2020). Two new species of Crocidura (Mammalia: Soricidae) from Ethiopia and updates on the Ethiopian shrew fauna. Journal of Vertebrate Biology, 69(2), 20064-1."
NA,Crocidura_solita,recently described,de novo,"Esselstyn, J. A., Achmadi, A. S., Handika, H., Swanson, M. T., Giarla, T. C., & Rowe, K. C. (2021). Fourteen New, Endemic Species of Shrew (Genus Crocidura) from Sulawesi Reveal a Spectacular Island Radiation. Bulletin of the American Museum of Natural History, 454(1), 1-108."
NA,Crocidura_tenebrosa,recently described,de novo,"Esselstyn, J. A., Achmadi, A. S., Handika, H., Swanson, M. T., Giarla, T. C., & Rowe, K. C. (2021). Fourteen New, Endemic Species of Shrew (Genus Crocidura) from Sulawesi Reveal a Spectacular Island Radiation. Bulletin of the American Museum of Natural History, 454(1), 1-108."
NA,Cryptotis_andinus,recently described,de novo,"Woodman, N. (2023). Two new species of small-eared shrews of the genus Cryptotis Pomel, 1848, from the Colombian Andes (Mammalia: Eulipotyphla: Soricidae). Annals of Carnegie Museum, 88(3), 203-234."
NA,Cryptotis_eckerlini,recently described,de novo,"Woodman, N. (2019). Three New Species of Small-eared Shrews, Genus Cryptotis, from El Salvador, Guatemala, and Honduras (Mammalia: Eulipotyphla: Soricidae). Special Publications of the Museum of Texas Tech University, 72, 1-46"
NA,Cryptotis_evaristoi,recently described,de novo,"Zeballos, H., Pino, K., Medina, C. E., Pari, A., Chavez, D., Tinoco, N., & Ceballos, G. (2018). A new species of small-eared shrew of the genus Cryptotis (Mammalia, Eulipotyphla, Soricidae) from the northernmost Peruvian Andes. Zootaxa, 4377(1), 51-73."
NA,Cryptotis_huttereri,recently described,de novo,"Woodman, N. (2023). Two new species of small-eared shrews of the genus Cryptotis Pomel, 1848, from the Colombian Andes (Mammalia: Eulipotyphla: Soricidae). Annals of Carnegie Museum, 88(3), 203-234."
NA,Cryptotis_matsoni,recently described,de novo,"Woodman, N. (2019). Three New Species of Small-eared Shrews, Genus Cryptotis, from El Salvador, Guatemala, and Honduras (Mammalia: Eulipotyphla: Soricidae). Special Publications of the Museum of Texas Tech University, 72, 1-46"
NA,Cryptotis_montecristo,recently described,de novo,"Woodman, N. (2019). Three New Species of Small-eared Shrews, Genus Cryptotis, from El Salvador, Guatemala, and Honduras (Mammalia: Eulipotyphla: Soricidae). Special Publications of the Museum of Texas Tech University, 72, 1-46"
NA,Cryptotis_woodmani,recently described,de novo,"Guevara, L. (2023). A new species of small-eared shrew (Soricidae, Cryptotis) from El Triunfo Biosphere Reserve, Chiapas, Mexico. Journal of Mammalogy, gyac125."
NA,Ctenomys_bidaui,recently described,de novo,"Teta P, D'Elía G. 2020. Uncovering the species diversity of subterranean rodents at the end of the World: three new species of Patagonian tuco-tucos (Rodentia, Hystricomorpha, Ctenomys) PeerJ 8:e9259 https://doi.org/10.7717/peerj.9259"
NA,Ctenomys_contrerasi,recently described,de novo,"Teta P, D'Elía G. 2020. Uncovering the species diversity of subterranean rodents at the end of the World: three new species of Patagonian tuco-tucos (Rodentia, Hystricomorpha, Ctenomys) PeerJ 8:e9259 https://doi.org/10.7717/peerj.9259"
NA,Ctenomys_eileenae,recently described,de novo,"Teta, P., Jayat, J. P., Alvarado-Larios, R., Ojeda, A. A., Cuello, P., & D’Elía, G. (2023). An appraisal of the species richness of the Ctenomys mendocinus species group (Rodentia: Ctenomyidae), with the description of two new species from the Andean slopes of west-central Argentina. Vertebrate Zoology, 73, 451-474."
